name,0,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,8500,9000,9500,10000,10500,11000,11500,12000,12500,13000,13500,14000,14500,15000,15500,16000,16500,17000,17500,18000,18500,19000,19500,20000,20500,21000,21500,22000,22500,23000,23500,24000,24500,25000,25500,26000,26500,27000,27500,28000,28500,29000,29500,30000,30500,31000,31500,32000,32500,33000,33500,34000,34500,35000,35500,36000,36500,37000,37500,38000,38500,39000,39500,40000,40500,41000,41500,42000,42500,43000,43500,44000,44500,45000,45500,46000,46500,47000,47500,48000,48500,49000,49500,50000,50500,51000,51500,52000,52500,53000,53500,54000,54500,55000,55500,56000,56500,57000,57500,58000,58500,59000,59500,60000,60500,61000,61500,62000,62500,63000,63500,64000,64500
Arbiter(B2),0.03319264433101126,0.56688714910053739,0.16375486783975512,0.30105973103532424,0.16485617492675173,-0.15070111769671829,-0.81235732803791783,-0.80089108831328981,-1.5654157466375878,-1.824056234417019,-1.8907790949154202,-1.7003906133396172,-1.5712704985755888,-0.78025798041203354,-0.13274427506646946,0.0061179004606662169,0.26633726736953794,-0.3253719620233938,-0.15893484955710269,-0.80402994945316164,-0.84989970285680305,-0.77894775607273004,-0.021949790194237453,0.19031957789214241,0.0063917630564056024,-0.2786674182075029,-0.62312455361406205,-1.33440781350516,-0.86163395337245829,-0.83851560113411949,-0.61976204276189761,-0.94334189336150998,-1.2118486453016528,-1.4292172701114236,-1.6466144138323122,-0.63702951452766055,-0.63097882558306495,-0.90253581362181412,-0.51814880492601512,-0.78059823854906385,-0.9618491356992851,-0.62380680277143785,-0.34550639957888218,-0.0043107426938058194,0.80039833491032431,0.74883361878244981,0.34705178829816163,0.79904496914012624,1.0254656606921748,0.92844463275756928,1.0308249231954554,0.35591837583349928,-0.31255682662005124,-1.0427926745557399,-1.5119557254871436,-1.1968591178391255,-0.94577895195388362,-0.84005525793734748,-0.37373692412570675,-0.83201772902751581,-0.52675109495709294,-0.33061727559400511,-0.21078233418093686,0.47821670653965143,0.116234082475399,-0.1860567758591527,-0.14781194002154419,-0.52821370820999836,-0.77562595647618382,-0.83482864019860226,-0.8259692941139315,-1.1975555013528627,-1.1871866894321996,-0.68521681670841639,-1.0030198805566468,-1.4615642912508304,-1.0715652954790613,-0.74377427287837117,-0.39465432449951071,-0.69943762493024886,-0.43117206396812613,-0.19413083360054992,-0.81536312288108559,-1.4454528330960239,-0.92775572454956534,-0.43623215207466359,0.78419046504946577,1.656413322429541,1.8988523149037839,1.1890711167739227,1.3945026603129147,1.4835574612438844,1.5836466023407474,1.1231903958324718,2.1580227991311247,2.2245512757144894,1.8226532931531669,1.4386272461582492,1.0815462293137565,0.70528970012613124,1.1357898962346753,1.306478207567352,1.6255476758912208,1.5690899427502725,1.2460726914196254,0.2597254000534866,0.015438701021587224,0.078340498452003679,0.63453736754014234,0.27925562745656279,-0.053610119401999945,0.059405178788018188,-0.28616182312077743,-0.59876523496926415,-0.28280105425356988,0.14288213067991873,0.43315409717771003,1.0748384954236427,1.2473269736854984,1.7499707598350709,1.3178388491539064,1.2669798654523878,1.1932886800134948,1.0985045070778292,1.4780574599381247,1.4805349126762264,0.84898795846110031,0.90686098611872612,1.5237146872430749,1.851639155651909
Ares(B2),-0.009259339674394686,0.31203828499183406,0.37352264625158038,0.032716576047405417,0.095209937638717032,-0.20952088536555258,-1.0549840124556475,-1.0817419555810051,-1.8241684585052487,-1.8690904858741975,-2.0040735628006163,-1.9290254014477153,-1.7124822991099793,-0.4589573576568749,0.018300340498540683,0.02750388924203899,0.32460436056328279,-0.32603980881993599,-0.22735562626980116,-0.80023518861719334,-1.0021616009338985,-0.43495634890791807,0.34642289734622073,0.25268530266171063,0.15676193323216145,0.13660310610165424,-0.75545324350064968,-1.1157580698356648,-0.75555155435843324,-0.66833869698187354,-0.55633202710412111,-1.1348822686017537,-0.89667074232087673,-1.2622033468824578,-1.5654496303628911,-0.57209780289220402,-0.63767853003030717,-0.97410925885106669,-0.19544025857407271,-0.69822108064141297,-0.78945273637427871,-0.77519894178281878,-0.30119583501208991,0.13948595386858467,0.96746432817959871,0.68178594186928676,0.17919766626033398,0.55167700901961736,0.95296335818724687,0.83398254965706076,0.78064722213485327,0.38987682291552861,-0.45357757338172772,-1.1530089629185207,-1.5017594819778841,-1.1155244755599079,-1.1141752349668348,-0.71170516788083882,-0.5264721437183284,-0.89710891264000214,-0.16416635280045455,-0.072509931765610602,-0.092861990504147854,0.031104936112402684,-0.40213793106399592,-0.08725309153444856,-0.17285991445976603,-0.21140019396099294,-0.7026192862029611,-0.56031931305874683,-0.94732882753248793,-1.3253716913275775,-1.0340672538497033,-0.63650270614439608,-0.99603268528020839,-1.3592358668000997,-1.0870808782531716,-0.78805760925541979,-0.35382849449708059,-0.64700571969537146,-0.27552353512528738,-0.22808916784102012,-0.8324423923724863,-1.4132060270144104,-0.99702449621410583,-0.58509515713470417,0.74712831067619978,1.7612494708326598,2.0915895859772609,1.0260472620802594,1.3035098537608896,1.3466530175530067,1.356326805091757,0.89090716605662978,2.200678863732461,2.1063534153596435,1.7739599644044537,1.4291944960612686,1.1078220192344446,0.94099250953612279,1.4139103895969301,1.5105011087589886,1.6042333696601261,1.5060960027660635,1.0981285775520224,-0.024953242885872959,-0.142607496657989,-0.050671979978032682,0.60763098319232434,-0.21709687750550841,-0.080277387225411431,0.010518810057072366,-0.23132369737391281,-0.47729679202025477,-0.085343562254071179,-0.052119332084786994,0.26118896319170282,0.9925472420714645,1.2047586065045457,1.6857434673645555,1.2484219732512476,1.3462359903111829,1.1114232181106016,1.2835636498598162,1.4837052672516262,1.756453441394014,1.0100381955216662,1.35191755030114,1.3551376413213663,1.8960069396706771
Eaglehorse(B2),-0.59405580985362105,-0.091078674401987678,0.15156350086347636,-0.058055592591082256,0.11990166843550751,-0.06605615237678078,-0.86545948986761934,-1.0034127617773201,-1.845097133483278,-2.1056832152456897,-1.7584959066005394,-1.7440464606366683,-1.6738883670732232,-0.59576750195971317,-0.16524661169302463,-0.024232260536094539,0.34935501764688287,-0.17661635373658219,-0.099347685140465242,-0.75820662472062506,-1.017301143191649,-0.50288371481532435,0.086854491993868244,-0.13808871440010989,0.0040916595829300004,-0.1936904113643674,-0.79241468856530584,-1.3329075393450727,-0.80467333716898926,-0.60932999288131207,-0.62882917628449331,-1.1526135789084351,-0.95801713440260639,-1.452698795576409,-1.6542634378943468,-0.30389526935215022,-0.70300649116197078,-0.9751184983419573,-0.14962593477615416,-0.81969672886413136,-0.65527090134950716,-0.71061271169126727,-0.33400272622263916,0.2667324078039221,0.95220850380700062,0.64896413377171003,0.19268868116393525,0.598225553467155,0.61509145001679566,0.6156446652182026,0.81833143859914559,0.22706411786143538,-0.42461063954992495,-1.0408124877310279,-1.5209468766088321,-1.000102668053283,-0.73577820988033471,-0.42570174044862463,-0.24243853617258126,-0.87225849123312205,-0.35327418437503816,-0.067405901687276421,-0.22025697259164101,0.43090409672145386,0.066703846216372639,-0.28962677702836326,-0.20359864801338665,-0.62269208907358109,-0.52688739755369129,-0.52298087326515286,-0.80154015992744609,-1.2070199652783775,-0.9212245848342886,-0.68223615930549064,-1.0821324015746203,-1.3572974401846636,-1.1574143912119226,-1.002753421166908,-0.44567259210910815,-0.61551407259355273,-0.41621983411844615,-0.35326146608341746,-0.79847035832967828,-1.5112942060382697,-1.0590105923388771,-0.45370006894378984,0.86110741109065148,1.8512073823076323,1.7211250100037343,0.98045860114310091,1.473962916533947,1.4154680255574961,1.326908603328681,1.0105392614632864,2.1025614891128401,2.1698168563216802,1.6938400348113773,1.4031762366264324,1.3047420344161622,1.0036130357244157,1.0830042167391591,1.5275195013988492,1.6326467644008982,1.5909399601134504,0.97727357567258022,0.071340061182886799,-0.065977353187123111,-0.01281717016981598,0.5478232027781863,0.18226514337551233,0.10177675464909826,0.026545148594361023,-0.39845926143727362,-0.63802391707185913,0.18994861439747462,0.081823247369512922,0.88761816215952805,1.2601501035298857,1.5147138218987561,1.7741030746178625,1.3017537616886956,1.2073691397628961,1.0715647630561584,1.2646020327924445,1.6641406803045058,1.8612938430818835,0.84850255879148706,1.3798136961815177,1.299573682847303,1.7521417944271553
Hedgerow(B2),-0.10544412076644036,0.29722227367869664,0.046519003996489394,0.11438979257805333,0.173357924025589,-0.17330329166774772,-0.76304561122493886,-0.93108244336717116,-1.6586125275660077,-1.7940903949757814,-2.1322925247436912,-1.9607830541689824,-1.8443767282886045,-0.95346038570315739,-0.22459024326175836,0.099627051853106274,0.41959114727891156,-0.17823944792659149,-0.14517059332053631,-0.81773201132581197,-0.87170610690379136,-0.6727366114816723,-0.014632008614657506,0.014759464418786197,0.13307572881801238,-0.27058527848835656,-0.5790412799608694,-1.1547821821547566,-0.6455619711899403,-0.69700437023545248,-0.67900717563276181,-1.0976275938242042,-1.3226212555241712,-1.467229856438651,-1.6046709202226004,-0.78988949334950331,-0.56821892920699524,-0.75563818866339127,-0.5647560791209687,-0.72892372390742666,-0.8095022247637973,-0.73693181758091497,-0.39092609851037274,-0.034398626759561436,0.92165844691052734,0.90592037347273169,0.45966972360037156,0.64699660677105186,0.88413266044586769,1.0105581214259984,1.1591689618044383,0.35675301835398482,-0.23538387870751257,-1.1050249509482803,-1.3894338858392596,-1.1731051878522605,-0.99325201386137396,-0.6609988283370416,-0.34044893969739914,-0.99461704050503896,-0.5403544312308729,-0.054703246986827048,-0.12921694470172265,0.52665504154237452,0.19913949371067199,-0.027807363616234357,-0.18740103536182931,-0.37690139919391863,-0.63006049748337567,-0.68109684795339798,-0.71898283150666331,-1.2098503296986867,-1.154914485786078,-0.68368481831325145,-0.81420017753919394,-1.3468800556764089,-1.2525747547110868,-0.93219305457642176,-0.44681029635772562,-0.47286805545566607,-0.41593416929270416,-0.28349807294085083,-0.79847206861494491,-1.3848675401217199,-0.90813656534922504,-0.35303190867732231,0.74071278702584809,1.8245185519025167,1.9091013322279273,1.1774219792744469,1.1294787957570112,1.2842352187576647,1.3584557261057866,1.0743066683872704,1.9916286664913145,1.9919557365828433,1.7521504703503321,1.3265909239271627,1.1209756837789786,0.85989527659164833,1.4217521214853588,1.3225164297145398,1.6780636596310476,1.4298060654838953,0.8978818388958123,0.064164789296844479,0.013007757816661622,0.11402133799933312,0.41607850394082779,0.22846242561708613,-0.051406814259302408,0.20290519764321438,-0.34056459414271867,-0.71065289048916835,-0.099255172280881945,-0.054616942771412706,0.41555106996054086,1.1118886662807896,1.4229615997339851,1.720552950285146,1.3442843125726647,1.3276939267275023,1.1823844623389783,1.2376932784028349,1.6040855784985024,1.7013010344796597,0.96385369026320378,1.2442243858949826,1.3008791798844541,1.8151803469853516
Kheth(B2),-0.085739757106126524,0.11375300435512167,0.10456775638296388,0.13694979009176728,0.35714849492510753,0.050699375470565182,-0.79049728790017659,-0.84130107721806557,-1.7570296774142846,-1.8293658897697147,-1.9864951392595527,-1.8564126522753643,-1.7072142548539462,-0.45961712664494792,-0.068703381393609944,-0.066644422455701305,0.21295427921294982,-0.39926643068807333,-0.27266445726519523,-1.0123956277278527,-1.1814305335941082,-0.70442682353445629,0.037651804299519427,-0.13916135805655402,0.17054754672297523,0.082593484516254312,-0.76418615908934495,-1.2273456686790885,-0.88329454120364259,-0.79824948704853183,-0.63196675827071025,-1.2924378112244639,-1.0713017101872946,-1.4141404542587861,-1.6982329164294732,-0.64581393681418398,-0.68444199141432804,-1.0718185965291875,-0.3642827054317519,-0.70273208327306691,-0.86919153068356447,-0.78901755223753567,-0.38858396486557567,0.20669043596496692,0.85980270487973554,0.60414677554983343,0.32087910556996646,0.88302596091191921,1.0599475660067996,0.91159530876278283,1.0298841398327707,0.51631877341434407,-0.4348530739498368,-1.1042080705919723,-1.458553540366788,-1.0379541721670718,-0.9404174385760381,-0.39229844923135365,-0.21363908301360365,-0.80334588990908284,-0.22055257352604254,-0.21474101720962302,-0.16840183381951068,0.45026421246842246,0.2487322428528716,0.023022398403389332,-0.15944703005607766,-0.48013950177633852,-0.58217940286555847,-0.749715786422123,-0.90481937186288364,-1.1643687870773585,-0.92402195699584644,-0.806350281079388,-1.0369782033993626,-1.4186159163332734,-1.00576119951714,-0.65873837188124551,-0.26794499302269464,-0.46137079462288966,-0.2741940673642978,-0.25862332698707302,-0.89422948980649686,-1.4916413530247816,-1.0729394839286421,-0.52629528675565718,0.64670140081060157,1.6958075428674348,1.5920765099882106,1.0077047392663729,1.3068266258954904,1.4572492208220189,1.3292033319410252,1.1420337556242763,2.1393941306305595,2.2984152125080191,1.6448141479297451,1.2003625595808673,1.1749595381721951,0.97066239135285237,1.1328096957185094,1.4250300369188798,1.3639585500027227,1.5801842722279955,1.0517195410189442,-0.25372699836297752,-0.30407754641950996,-0.18049244487167107,0.56601430671082886,-0.0046331339146185747,0.055744398952468792,0.10530427516309672,-0.06094526943875337,-0.61914828830962931,-0.031069027349593804,0.21929052510908126,0.41536501068239268,1.0627954848393506,1.5628147378071093,1.749973676482071,1.3806269994390012,1.2437863808508938,1.1112400515881466,1.280342583454398,1.5153781557171628,1.7050878352810177,1.0747216148917595,1.3895425962261525,1.1595874090885647,1.8981318144499781
Laurie(B2),-0.049062760866144389,0.32241852849086478,-0.0050989325568160633,-0.17291553052137057,-0.39009320069519987,-0.70628917220178566,-0.873285098583368,-0.95181010808389976,-1.5913185096089464,-1.603788247416478,-1.7928113197769366,-1.7883825997135778,-1.5660880825461141,-0.55405596483886466,-0.3987407224336651,-0.29121034857135453,0.083002321933497838,-0.34203075974588248,-0.30637737574139917,-0.79418302598301005,-0.65309000718069776,-0.13724841774168065,0.54778740216312183,-0.23073076992549771,-0.22286606736319886,-0.1894122996143304,-0.57131030092686252,-0.90113515795969856,-0.75319633614206949,-0.43932691461944406,-0.48057981695679364,-0.93380496203691887,-0.88177881228978328,-1.3302324960734644,-1.5681958462570849,-0.98171065047704198,-0.69071898862706227,-1.0553628506090613,-0.23359657953363408,-0.466520925049832,-0.40036007788677325,-0.42914871866710486,-0.17558155908639392,0.2135253344070068,0.80750122807331415,0.52527576028568357,0.40005848307660236,0.69115277026966215,0.81081874467869164,0.58176572091623868,0.38024876121425294,0.038240202273130526,-0.53248138028026515,-1.0537069226316027,-1.365933156134459,-0.77770138415691115,-1.1133462876433158,-0.70639186047304781,-0.23206443820816677,-0.38626114872410078,-0.11230995220796364,-0.2356390103505247,-0.63146973733873801,-0.67443980148328997,-0.28859235208181749,-0.3189946864184805,-0.40462465570708456,-0.40236474559885493,-0.35299630401893084,-0.68155608368485854,-1.0659565050141178,-0.80519431638888517,-0.59930922449034285,-0.9483800180477765,-1.2618246197492005,-1.0357466474459782,-0.69362320072671213,-0.38220136697544016,-0.56889114026157239,-0.76007603859006889,-0.89951827849591726,-1.160158781165745,-1.5525629119426625,-1.081698897633026,-0.52529885488943562,0.94517888856055687,1.8476045214864094,1.7629402784841084,1.2891201127100971,1.644146136727634,1.4584299881670602,0.94294625050441383,0.96216545561664046,1.8809181531114305,1.5725692655919508,1.6478502765336216,1.2481606471543956,1.3826758013247729,0.81118510635255292,1.2676367203570693,1.5464114436377931,2.1495356355320419,1.610828558165857,1.4083137280287494,0.48066046834646192,-0.059461484661298997,-0.060725933997824333,0.79082762067499612,0.08477833360302213,0.038935601227151548,-0.19809021575156896,-0.43420368432032608,-0.8189361163660539,-0.61314914611915605,-0.20659440420184497,0.19727908533235286,1.0541989341163027,1.7397018109835003,2.2846278822980026,1.8320292946933636,1.0801428629296204,1.257116200853132,1.2152629390208711,1.8063862224047378,1.5761175982066287,1.0846796467352207,1.1242581815890043,1.545074897646511,1.9334362027966403
LizLemon(B2),-0.39087447273445258,0.25460683371970483,-0.025149406150429574,0.12023348333917816,0.16270712947264482,-0.052782139312531319,-0.65758851434371868,-0.77575326731079197,-1.6865175954657647,-1.8332487439849936,-2.0658727334958971,-1.9016128723038721,-1.5567270721701896,-0.89464214927934382,-0.19969930152167409,-0.083997089072930575,0.20015137065009259,-0.30665686592423691,0.012319522411093695,-0.80413110937745491,-0.79394420321759196,-0.38906194124174193,-0.021861316043878216,0.25009346580665975,0.043483832117514692,-0.36487844774179756,-0.7273553826707535,-1.2684119316937446,-0.8096825721870059,-0.89451543869799099,-0.59389767456653453,-0.86273737185824739,-1.2627595330666899,-1.3877016118127679,-1.3341139920880223,-0.72019780116347598,-0.67729459228665245,-0.83950005146064788,-0.75545090357525613,-0.7060791169503835,-0.97527450465586152,-0.6815835934170712,-0.58214728887282208,-0.12006796474879544,0.78991528473379646,0.82154180383290998,0.34956756061196109,0.45250406064613735,0.68489814360985568,0.75576485060568643,0.92664995355352253,0.2695272146340088,-0.19909163733169902,-0.95873661479474337,-1.4267663854118064,-1.098461969963749,-0.7451903308766169,-0.49242080884228534,-0.032574351294277104,-0.48274544705708861,-0.43420575917903464,-0.023224293385734118,-0.42063434753192225,0.50381857828438636,0.43633990386495014,-0.02201354821089949,-0.3310428047547761,-0.29893254666399433,-0.62346796131947224,-0.74356601438307068,-0.88204070033336468,-1.2942472039860584,-1.1742456885859793,-0.72911205213107655,-0.67946375612441601,-1.2283640704587204,-1.1364628677663067,-0.75599085117183862,-0.54452595174432528,-0.66397039488372311,-0.5152258791105061,-0.42434454139330435,-0.94609766284734242,-1.3587862643926536,-0.87206824194149268,-0.48891051971719685,0.87929943583878045,1.6859401096369813,2.0041381987759532,1.2934641823901005,1.4947928947875981,1.5398832967587266,1.4735208131698416,1.2509725878840809,1.929322820539056,2.226602782488555,1.8362207553842749,1.3445620428710279,1.1713192070392717,0.99547968026960454,1.4411084990867975,1.0779258130779199,1.5177275663492731,1.2592953163618463,0.68146101957363869,-0.18484127041455464,-0.29402347799160922,-0.074760052485326037,0.49587966433737585,0.33089321703299873,-0.057163895362597757,-0.14412398556883455,-0.46214566365356041,-0.78359608807400327,-0.24102460667247239,0.093110198096242699,0.51805087319370691,1.2748616716799999,1.2605281862551942,1.7093377659272364,1.3593887464732188,1.625118276639093,1.360503964838466,1.1016150547863572,1.8137407920515949,1.9399511242385883,1.0778844070076268,1.1130339815733625,1.2067027919755748,1.854620343994271
Qyrzula(B2),0.014205984017626423,0.48552874273415586,0.12518991575211452,0.29475439804947562,0.12659441781028014,-0.16223189999261378,-0.7563327333406088,-0.84057456668194752,-1.5949464195176997,-1.8593220746769996,-2.0119302121802809,-1.7990267674635025,-1.7610058748774091,-0.91537111865648968,-0.22610943218599902,-0.023547062218046179,0.25411143348012855,-0.23797770769679372,-0.18622665198126911,-0.88619772959265775,-0.94603033999520092,-0.92731802342022163,-0.26123438756948653,-0.13796444044961714,0.012406232633163474,-0.27902899791092683,-0.64144866280674984,-1.3701067878247442,-0.93588965110481459,-0.86150715003645939,-0.62079613907076003,-0.88606125468001773,-1.1270638705333145,-1.3313423734965859,-1.5399661841917378,-0.59821497699959114,-0.63031936947779299,-0.82478115014190856,-0.54504214367765769,-0.80576878191584789,-1.0075081732746751,-0.64370370881369021,-0.6676462221607834,-0.21130354493564818,0.70473616910109205,0.6237691771592947,0.37284833037875376,0.7597795084716964,1.03545940672201,0.82892034735272524,0.93814915822932832,0.34127805910574233,-0.30011620466261085,-1.0083510994529328,-1.4496339356907044,-1.1587173669211659,-0.99713985842350128,-0.6859468802070845,-0.19904729817621486,-0.7353775492100102,-0.15427055898980033,0.31323119281450751,0.11062362627264891,0.31372640946387348,-0.51150734381890317,0.20416667391815571,-0.11172957773938128,-0.21408418213845742,-0.60639806357884096,-0.41807738624312718,-0.71637340261552063,-1.2208037052972547,-0.97962255347769567,-0.55203408004472376,-0.70709216060744307,-1.1632306980859135,-1.3147849375261886,-0.8642157295174957,-0.5698893194276845,-0.39438245761796042,-0.51895762701481996,-0.32029242062894264,-0.76855109194750748,-1.4478355961160934,-0.98880164968565876,-0.72931388458834245,0.479091749145722,1.5763240945494126,1.7778762706781339,0.99122369093290863,0.93651981231725834,1.10122107308004,1.3562031269002452,1.186390435468637,2.0345145241455675,2.2949438182189894,1.7436045861081957,1.2318818230900219,1.4590402811231771,1.0052534769156551,1.2564384572193728,1.283850857392197,1.6502465462464588,1.4622498137867419,0.97557957325977041,0.064170010488449697,-0.2178326093004482,-0.08089133745911152,0.70044136307457183,0.43527831832446129,0.005620851094717127,-0.042442876277773878,-0.42321859285558117,-0.77433056062513472,-0.067409501342660147,0.22649009963072864,0.52104588776696115,1.2005075092347357,1.1434275532483711,1.8174560297516027,1.3380934564512388,1.5192526163151063,1.4436806258734944,1.273650714995687,1.7267611475185896,1.7262532800031023,0.94371354872773328,1.1048436523654728,1.7595378185559649,1.8613930053969536
Rosebush(B2),-0.4181985660639802,0.12229479239722808,-0.034240920456639345,0.072066544408049452,0.1327359442637939,-0.080916674172787154,-0.65190291291673563,-0.78406843363539247,-1.6023672038347252,-1.7444505739137788,-2.0223474868459985,-1.9199233676427738,-1.8035058025207942,-0.86070776225500145,-0.17614959181876633,-0.0027173142046961109,0.35482773206650092,-0.52673458468494017,-0.16501714190909181,-0.89046999727571197,-0.9563079837282713,-0.75162556046228224,-0.1046761787916699,0.24180253233247936,0.081764187237270913,-0.25776336027090402,-0.6256644265858986,-1.1750671030661024,-0.63714677403519504,-0.77475940655563313,-0.6493282691082034,-1.0491186491928066,-1.2991908506608225,-1.4565323162100534,-1.4978014288193897,-0.72713408622906639,-0.50545549935430178,-0.74545082110641914,-0.71735022379194679,-0.72146001229184797,-0.84948257380752168,-0.81378022801629668,-0.31263113950131344,-0.0027555202624319174,0.89815299083141575,0.96003531839273604,0.49048418213284672,0.5818880330231595,0.93294640233317361,0.99526379282760513,1.1608018848373709,0.37328243587077864,-0.21335486276398918,-1.0470457433096241,-1.4198581611687346,-1.3656512254717568,-0.9902468103656038,-0.74640030127676271,-0.42829492345214959,-0.9918391841960138,-0.53097556775266086,-0.089165238086948415,-0.082314533520893005,0.53462915110763265,0.22543485653395423,-0.063979893625613918,-0.18025131032541508,-0.36844485668319282,-0.66127598094132811,-0.68669482859390996,-0.62676893384924659,-1.1947852944058073,-1.162882236953632,-0.67315857640291987,-0.71626348811870477,-1.3738016177648464,-1.2928554193356565,-0.87168957002413028,-0.55876148979669493,-0.41186565745100712,-0.36975420898247152,-0.16468822036226097,-0.79812433614182376,-1.3860717385411159,-0.95271782362253654,-0.27823668675079494,0.68530274380639034,1.8303413086338776,1.9301173607472866,1.2423068304410076,1.1637800551249053,1.2975436771878264,1.4206375001720195,1.0387917879537636,2.0289982266272899,2.1826921389563996,1.7323635406082207,1.3056089712937902,1.1197442051121469,0.70793541898399426,1.3493559172199703,1.3872499185531326,1.7303097952937621,1.2887459008635171,0.94912301203342309,0.24675056840342888,0.01490692323525826,0.3106747320089368,0.42766903861992406,0.39173663559852223,-0.0253045839760585,0.030615236877286005,-0.53553870993741604,-0.60642956459485642,-0.10331823762917039,0.16669794684352038,0.35361152395938328,1.0812860004814506,1.27197718045469,1.7026893893304285,1.230410681581523,1.4002037264690932,1.0975064262758538,1.1340533146495724,1.7133529917049291,1.8217512586299218,0.99844485993131671,1.1951310196867313,1.3780177492978214,1.7661642679277445
TA17A(B2),-0.16455129997148604,0.33923047604338941,0.2386748720435666,0.17964806141696923,0.20738008775602806,-0.066726671175874205,-0.93734828736777376,-0.83436809848883176,-1.7670972204430961,-1.9686433467929321,-2.0814317472885486,-1.9313706808013971,-1.8316470604038302,-0.69244484786132698,0.093364090234141134,0.096875407494508486,0.33078462986823087,-0.17992926622384803,0.072315645186579486,-0.65789495610697157,-0.77683222197847002,-0.23467563361649393,0.53902516268315404,0.0058248401935265589,-0.17027149268187239,-0.41514802569654136,-0.84190657501021615,-1.3317137344552248,-0.91347176559248955,-0.76336740968978156,-0.43941477279299546,-1.0448385385381331,-1.1049501924086853,-1.4766370685687991,-1.6821240624599691,-0.84407379078080502,-0.83441932511198524,-0.97101101633464593,-0.28904987133984572,-0.49977809912689442,-0.66095054206309012,-0.49842179968244843,-0.17568630249213105,0.53211248917630793,0.9898793420186377,0.61857602729239125,0.35185257741774623,0.79059082118311641,1.1036949487911927,0.99557893183386681,0.89808033290476785,0.32504925513919214,-0.58593661018851473,-1.1972683786556408,-1.6575806211150554,-1.0756091042139193,-1.0806199998522776,-0.57602817227810366,-0.42550743020751791,-0.66728053895957407,-0.030853354253056364,-0.041720403624038345,-0.28987773717654636,0.6218470186769478,0.35601081937729101,-0.20518345957457479,-0.44873592158306258,-0.47796597406367614,-0.56596703174041341,-0.80663904913531048,-0.87028207012329162,-1.461218615854371,-1.0983553150973666,-0.89167511451174475,-1.0594905562903578,-1.3623115848968419,-0.99536516366137029,-0.67408797838318035,-0.48806486700669399,-0.66777119139823515,-0.52939830507804431,-0.52496956046051757,-0.84205572798506978,-1.3066297854235522,-0.76511332431949808,-0.3701098810257073,0.92525079364743268,1.7485318041153883,1.4033130564271397,0.82906999551901661,1.5506962064555205,1.6473182019458945,1.2656110654545303,1.2369959431655861,2.2137393658284079,2.1461207781406468,1.7510019192100972,1.388966067709799,1.0543618826487968,0.98075639895206412,1.0817411885714538,1.7423007989143251,1.3218297969752182,1.3342560073201131,0.54001832444339204,-0.21216134589830926,-0.072919955971781164,0.31846037730969989,0.59428661856110732,0.20916200377724373,0.1996232532208915,0.26086595019635966,-0.46258907648176811,-0.54119876816686463,-0.0009117402001091381,-0.15624502497452888,0.61691708574356019,1.1775118018109796,1.5836885782717931,1.51981654317215,1.0627080060083258,0.86534712857369334,0.77285575952290531,0.82707051559833644,1.625176272870037,1.6161192230183061,0.894655510144995,1.2933985183419372,1.3587758128161291,1.9231800720434107
