PhageName	Cluster
MetalQZJ	A1
Methuselah	A3
MiaZeal	J
MichelleMyBell	N
Microwolf	A3
MilleniumForce	F1
Millski	A4
Milly	K2
Minerva	J
Minnie	F1
Misomonster	A3
MisterCuddles	F1
MitKao	B1
MkaliMitinis3	L2
MoMoMixon	C1
MooMoo	Singleton
Morgushi	B1
Morpher26	A4
Morty	B1
Mosaic	B1
Mosby	E
MosMoris	S
Mozy	F1
MPlant7149	A1
MRabcd	B1
MrGordo	A1
Muddy	Singleton
Mufasa	K2
Mulciber	A11
Mundrea	A4
Murdoc	B1
Murica	E
Murphy	E
Murucutumbu	K1
Museum	A1
Mutaforma13	F1
Myrna	C2
Myxus	A9
Naca	A5
Nacho	B1
Nala	E
Nappy	C1
NelitzaMV	E
Newman	B1
Nhonho	A1
Nicholasp3	L2
Nigel	B4
Nilo	R
Norbert	A3
NoSleep	E
Nova	D1
NuevoMundo	C1
Numberten	B1
Nyxis	A4
Oaker	H1
Obama12	A4
OBUpride	Q
Odin	A2
Ogopogo	F1
OkiRoe	K5
Oline	B1
OliverWalter	B1
Ollie	A3
Omega	J
Omnicron	K5
Oosterbaan	B1
Optimus	J
Orion	B1
OrionPax	E
OSmaximus	B1
Ovechkin	F1
P28Green	A3
Pacc40	F1
PackMan	A9
Palestino	A4
Papez	A1
Papyrus	R
Pari	A1
Patience	U
PattyP	A1
PBI1	D1
Peaches	A4
PegLeg	M1
Pepe	A1
Perseus	A1
Petp2012	A1
PG1	B1
Phacado	A4
Phaedrus	B3
Phantastic	A3
Pharsalus	E
PhatBacter	E
Phatniss	F1
Phaux	E
Phelemich	B5
Phighter1804	A4
Phineas	P
Phipps	B1
Phlorence	A5
Phlyer	B3
Phoxy	A3
Phreak	G
PhrostyMug	A1
Phrux	E
Pier	C1
Piglet	B1
Pinto	A1
Pio	C1
Pipcraft	A4
Pipefish	B3
Pippy	F1
Pipsqueak	B1
Piro94	A2
Pixie	K3
Pleione	C1
PLot	D1
PMC	F1
